path	token	count	class	source	note
manuscript/cover_letter_template.md	0000	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/cover_letter_template.md	0002	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/cover_letter_template.md	1	1	STRUCTURAL	Editor response structure	Prior-exposure lag notation
manuscript/cover_letter_template.md	2	2	STRUCTURAL	Editor response structure	Figure and table locators
manuscript/cover_letter_template.md	2019	1	EXTERNAL	Fancourt and Steptoe JECH citation	Publication year
manuscript/cover_letter_template.md	2026	3	ADMIN	JECH correspondence and manuscript record	Letter dates and manuscript identifier
manuscript/cover_letter_template.md	226788	1	ADMIN	JECH manuscript record	Manuscript identifier
manuscript/cover_letter_template.md	24	1	ADMIN	JECH editor letter	Invitation date
manuscript/cover_letter_template.md	27	1	ADMIN	Cover-letter metadata	Submission date
manuscript/cover_letter_template.md	2586	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/cover_letter_template.md	5973	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/cover_letter_template.md	73	1	EXTERNAL	Fancourt and Steptoe JECH citation	Journal volume
manuscript/cover_letter_template.md	906	1	EXTERNAL	Fancourt and Steptoe JECH citation	First page
manuscript/cover_letter_template.md	912	1	EXTERNAL	Fancourt and Steptoe JECH citation	Last page
manuscript/cover_letter_template.md	one	2	STRUCTURAL	Editor response structure	Standalone clause and single-clause descriptions
manuscript/cover_letter_template.md	three	1	STRUCTURAL	Editor response structure	Three motivating studies
manuscript/cover_letter_template.md	two	1	STRUCTURAL	Editor response structure	Two balance display items
manuscript/manuscript_template.md	0000	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/manuscript_template.md	0002	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/manuscript_template.md	01	1	ADMIN	ELSA ethics statement	MREC identifier segment
manuscript/manuscript_template.md	1	10	STRUCTURAL	Analysis design and document structure	Wave, lag, figure, table, and model locators
manuscript/manuscript_template.md	14	1	EXTERNAL	Fancourt and Steptoe BMJ 2019	Published follow-up duration
manuscript/manuscript_template.md	1st	1	DESIGN	Weight-truncation protocol	Lower truncation percentile
manuscript/manuscript_template.md	2	10	STRUCTURAL	Analysis design and document structure	Baseline wave, figure, table, section, and ethics locators
manuscript/manuscript_template.md	2002	1	EXTERNAL	ELSA cohort documentation	Cohort start year
manuscript/manuscript_template.md	2586	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/manuscript_template.md	5050	3	EXTERNAL	UK Data Service catalogue	Gateway Harmonized ELSA study identifier
manuscript/manuscript_template.md	5973	1	ADMIN	Author ORCID	Identifier segment; not an analysis result
manuscript/manuscript_template.md	8773	3	EXTERNAL	UK Data Service catalogue	ELSA polygenic-score study identifier
manuscript/manuscript_template.md	91	1	ADMIN	ELSA ethics statement	MREC identifier segment
manuscript/manuscript_template.md	99th	1	DESIGN	Weight-truncation protocol	Upper truncation percentile
manuscript/manuscript_template.md	first	1	STRUCTURAL	Longitudinal design and narrative structure	First censoring event
manuscript/manuscript_template.md	four	1	STRUCTURAL	Model-ladder design	Number of common-panel specifications discussed
manuscript/manuscript_template.md	one	4	STRUCTURAL	Analysis design and narrative structure	Single baseline measure and worked-example wording
manuscript/manuscript_template.md	third	1	EXTERNAL	Fancourt and Steptoe BMJ 2019	Approximate published mortality contrast
manuscript/manuscript_template.md	three	1	STRUCTURAL	Exposure design	Exposure categories
