n_extra,rr_alloc,exposure,HR_median,HR_p2_5,HR_p97_5,n_reps,note
0,0.5,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,0.5,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,0.67,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,0.67,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,1.0,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,1.0,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,1.5,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,1.5,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,2.0,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,2.0,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,3.0,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,3.0,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,5.0,Infrequent,0.728,0.728,0.728,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
0,5.0,Frequent,0.636,0.636,0.636,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,0.5,Infrequent,0.765,0.739,0.799,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,0.5,Frequent,0.739,0.689,0.791,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,0.67,Infrequent,0.765,0.735,0.799,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,0.67,Frequent,0.710,0.666,0.755,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,1.0,Infrequent,0.757,0.724,0.792,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,1.0,Frequent,0.670,0.623,0.718,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,1.5,Infrequent,0.748,0.711,0.783,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,1.5,Frequent,0.638,0.596,0.677,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,2.0,Infrequent,0.736,0.703,0.777,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,2.0,Frequent,0.608,0.569,0.653,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,3.0,Infrequent,0.721,0.693,0.756,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,3.0,Frequent,0.577,0.543,0.608,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,5.0,Infrequent,0.700,0.665,0.731,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
200,5.0,Frequent,0.542,0.510,0.584,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,0.5,Infrequent,0.801,0.765,0.845,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,0.5,Frequent,0.812,0.751,0.871,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,0.67,Infrequent,0.800,0.758,0.840,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,0.67,Frequent,0.768,0.713,0.818,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,1.0,Infrequent,0.781,0.737,0.818,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,1.0,Frequent,0.697,0.647,0.747,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
400,1.5,Infrequent,0.761,0.720,0.798,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
