Variable,Level,Never (N=),Never %,Infrequent (N=),Infrequent %,Frequent (N=),Frequent %,Total (N=),Total %
N,,1574,,2682,,1799,,6055,
Age (mean (SD)),,1574,68.7 (10.3),2682,64.4 (9.2),1799,63.6 (8.5),6055,65.2 (9.5)
Age group,50-59,374,23.8,1040,38.8,706,39.2,2120,35.0
Age group,60-69,478,30.4,878,32.7,662,36.8,2018,33.3
Age group,70-79,440,28.0,560,20.9,339,18.8,1339,22.1
Age group,80+,282,17.9,204,7.6,92,5.1,578,9.5
Female,,795,50.5,1388,51.8,1013,56.3,3196,52.8
White,,1545,98.2,2652,98.9,1782,99.1,5979,98.7
Married/cohabiting,,969,61.6,2030,75.7,1361,75.7,4360,72.0
Employed,,304,19.3,984,36.7,727,40.4,2015,33.3
CVD (any),,943,59.9,1302,48.5,786,43.7,3031,50.1
Cancer,,100,6.4,189,7.0,134,7.4,423,7.0
Lung disease,,179,11.4,124,4.6,47,2.6,350,5.8
Psychiatric condition,,116,7.4,218,8.1,147,8.2,481,7.9
Any mobility limitation,,860,54.6,911,34.0,492,27.3,2263,37.4
Any ADL limitation,,488,31.0,377,14.1,173,9.6,1038,17.1
Any IADL limitation,,117,7.4,75,2.8,34,1.9,226,3.7
Poor eyesight,,348,22.1,252,9.4,112,6.2,712,11.8
Poor hearing,,451,28.7,542,20.2,253,14.1,1246,20.6
Current smoker,,373,23.7,350,13.0,150,8.3,873,14.4
Education,No qualification,1137,72.2,1053,39.3,345,19.2,2535,41.9
Education,Age-16 qualification,178,11.3,646,24.1,393,21.8,1217,20.1
Education,Age-18 qualification,74,4.7,229,8.5,180,10.0,483,8.0
Education,Degree,185,11.8,754,28.1,881,49.0,1820,30.1
CES-D (mean (SD)),,1574,2.1 (2.2),2682,1.3 (1.8),1799,1.1 (1.6),6055,1.5 (1.9)
Cognition z-score (mean (SD)),,1574,-0.22 (0.74),2682,0.14 (0.66),1799,0.33 (0.64),6055,0.10 (0.71)
Died during follow-up,,457,29.0,376,14.0,189,10.5,1022,16.9
Follow-up years (mean (SD)),,1574,9.1 (5.3),2682,11.8 (5.4),1799,12.8 (5.2),6055,11.4 (5.5)
