stratum,contrast,covariate,smd_raw_unweighted,smd_raw_weighted,smd_adjusted_unweighted,smd_adjusted_weighted,n_hi,n_lo,n_adjusted
pooled,freq_vs_never,any_mobil_tv,-0.5885,-0.5260,-0.1398,-0.0519,8570,5125,13695
pooled,freq_vs_never,any_adl_tv,-0.5307,-0.4752,-0.1168,-0.0414,8570,5125,13695
pooled,freq_vs_never,any_iadl_tv,-0.2602,-0.2303,-0.0406,0.0170,8570,5125,13695
pooled,freq_vs_never,cog_tv,0.7472,0.6926,0.1591,0.0730,8570,5125,13695
pooled,freq_vs_never,cancre,0.0122,0.0223,-0.0278,-0.0111,8570,5125,13695
pooled,freq_vs_never,lunge,-0.3289,-0.3328,-0.0162,-0.0151,8570,5125,13695
pooled,freq_vs_never,cvd_any_tv,-0.2667,-0.2552,-0.0386,-0.0213,8570,5125,13695
pooled,freq_vs_never,smoke_now_tv,-0.4347,-0.4160,-0.0666,-0.0413,8570,5125,13695
pooled,freq_vs_never,cesd_w,-0.5523,-0.4690,-0.1644,-0.0479,8570,5125,13695
pooled,freq_vs_never,poor_sight_tv,-0.3734,-0.3494,-0.0651,-0.0203,8570,5125,13695
pooled,freq_vs_never,poor_hear_tv,-0.3115,-0.2860,-0.0565,-0.0186,8570,5125,13695
pooled,infreq_vs_never,any_mobil_tv,-0.4023,-0.3749,-0.0647,-0.0208,11567,5125,16692
pooled,infreq_vs_never,any_adl_tv,-0.3745,-0.3405,-0.0762,-0.0311,11567,5125,16692
pooled,infreq_vs_never,any_iadl_tv,-0.1795,-0.1636,-0.0323,-0.0048,11567,5125,16692
pooled,infreq_vs_never,cog_tv,0.5150,0.4726,0.1213,0.0555,11567,5125,16692
pooled,infreq_vs_never,cancre,0.0102,0.0084,-0.0023,-0.0005,11567,5125,16692
pooled,infreq_vs_never,lunge,-0.2352,-0.2408,0.0028,-0.0035,11567,5125,16692
pooled,infreq_vs_never,cvd_any_tv,-0.2202,-0.2059,-0.0173,0.0016,11567,5125,16692
pooled,infreq_vs_never,smoke_now_tv,-0.2904,-0.2763,-0.0419,-0.0248,11567,5125,16692
pooled,infreq_vs_never,cesd_w,-0.3852,-0.3287,-0.1124,-0.0358,11567,5125,16692
pooled,infreq_vs_never,poor_sight_tv,-0.2871,-0.2656,-0.0605,-0.0282,11567,5125,16692
pooled,infreq_vs_never,poor_hear_tv,-0.1794,-0.1787,-0.0037,-0.0001,11567,5125,16692
lag_never,freq_vs_never,any_mobil_tv,-0.3191,-0.1861,-0.1445,-0.0165,86,2426,2512
lag_never,freq_vs_never,any_adl_tv,-0.1327,-0.0261,-0.0305,0.0850,86,2426,2512
lag_never,freq_vs_never,any_iadl_tv,-0.1580,-0.0844,-0.1403,-0.0445,86,2426,2512
lag_never,freq_vs_never,cog_tv,0.0480,-0.1165,-0.0467,-0.2222,86,2426,2512
lag_never,freq_vs_never,cancre,0.0722,0.0776,-0.0329,-0.0299,86,2426,2512
lag_never,freq_vs_never,lunge,-0.2566,-0.2777,-0.1230,-0.1301,86,2426,2512
lag_never,freq_vs_never,cvd_any_tv,0.0693,0.0717,0.0570,0.0339,86,2426,2512
lag_never,freq_vs_never,smoke_now_tv,-0.1454,-0.0779,-0.0101,0.0544,86,2426,2512
lag_never,freq_vs_never,cesd_w,-0.1964,0.0082,-0.1160,0.0966,86,2426,2512
lag_never,freq_vs_never,poor_sight_tv,-0.1681,-0.0732,-0.0768,0.0146,86,2426,2512
lag_never,freq_vs_never,poor_hear_tv,-0.2703,-0.2463,-0.2354,-0.2067,86,2426,2512
lag_never,infreq_vs_never,any_mobil_tv,-0.2367,-0.1634,-0.0257,0.0428,753,2426,3179
lag_never,infreq_vs_never,any_adl_tv,-0.2088,-0.1352,-0.0601,0.0091,753,2426,3179
lag_never,infreq_vs_never,any_iadl_tv,-0.1198,-0.0892,-0.0224,0.0136,753,2426,3179
lag_never,infreq_vs_never,cog_tv,0.2582,0.1622,0.0607,-0.0542,753,2426,3179
lag_never,infreq_vs_never,cancre,0.0986,0.0996,0.0382,0.0521,753,2426,3179
lag_never,infreq_vs_never,lunge,-0.0959,-0.1017,0.0204,0.0054,753,2426,3179
lag_never,infreq_vs_never,cvd_any_tv,-0.1133,-0.0855,-0.0180,0.0121,753,2426,3179
lag_never,infreq_vs_never,smoke_now_tv,-0.1714,-0.1382,-0.0429,-0.0115,753,2426,3179
lag_never,infreq_vs_never,cesd_w,-0.2342,-0.1051,-0.0948,0.0408,753,2426,3179
lag_never,infreq_vs_never,poor_sight_tv,-0.1842,-0.1325,-0.0536,-0.0003,753,2426,3179
lag_never,infreq_vs_never,poor_hear_tv,-0.1035,-0.0906,-0.0359,-0.0243,753,2426,3179
lag_infrequent,freq_vs_never,any_mobil_tv,-0.3630,-0.2414,-0.1541,-0.0050,1465,1028,2493
lag_infrequent,freq_vs_never,any_adl_tv,-0.3187,-0.2145,-0.1029,0.0245,1465,1028,2493
lag_infrequent,freq_vs_never,any_iadl_tv,-0.2196,-0.1603,-0.0872,-0.0012,1465,1028,2493
lag_infrequent,freq_vs_never,cog_tv,0.5292,0.4027,0.1656,0.0162,1465,1028,2493
lag_infrequent,freq_vs_never,cancre,-0.1112,-0.0880,-0.0416,-0.0127,1465,1028,2493
lag_infrequent,freq_vs_never,lunge,-0.2177,-0.2324,-0.0195,-0.0241,1465,1028,2493
lag_infrequent,freq_vs_never,cvd_any_tv,-0.2198,-0.2123,-0.0578,-0.0395,1465,1028,2493
lag_infrequent,freq_vs_never,smoke_now_tv,-0.1815,-0.1416,-0.0549,-0.0092,1465,1028,2493
lag_infrequent,freq_vs_never,cesd_w,-0.4368,-0.2484,-0.2694,-0.0612,1465,1028,2493
lag_infrequent,freq_vs_never,poor_sight_tv,-0.2278,-0.1862,-0.0524,0.0015,1465,1028,2493
lag_infrequent,freq_vs_never,poor_hear_tv,-0.2798,-0.2368,-0.0781,-0.0305,1465,1028,2493
lag_infrequent,infreq_vs_never,any_mobil_tv,-0.2991,-0.2450,-0.1142,-0.0363,6484,1028,7512
lag_infrequent,infreq_vs_never,any_adl_tv,-0.2497,-0.1872,-0.0740,0.0045,6484,1028,7512
lag_infrequent,infreq_vs_never,any_iadl_tv,-0.1289,-0.0980,-0.0417,0.0023,6484,1028,7512
lag_infrequent,infreq_vs_never,cog_tv,0.4295,0.3347,0.1617,0.0426,6484,1028,7512
lag_infrequent,infreq_vs_never,cancre,-0.1013,-0.0943,-0.0229,-0.0158,6484,1028,7512
lag_infrequent,infreq_vs_never,lunge,-0.1406,-0.1579,0.0120,0.0029,6484,1028,7512
